Janitor 40 Male Married $44089
Female Divorced 96 $7604 Retiree
Surgeon 55 Married $314514 Female
$0 Student Widowed Female 19
Female 57 Married Soldier $74506
$4305 Divorced Retiree Female 80
Male $7777 82 Retiree Single
Male Widowed $390239 Judge 33
Female Single $0 Student 16
Female 76 Single $7690 Retiree
Married $54193 Dentist 35 Female
Programmer Married $47370 Female 54
Female Married Retiree $4905 90
Female $5413 Retiree 86 Married
Female Married Retiree 97 $10640
Pilot 44 $248298 Female Married
$237933 Carpenter 31 Married Male
Female 88 $6491 Single Retiree
Male 41 Married Actor $220928
48 Single Musician Female $379136
$413213 Businessman Divorced Female 31
Student Single Female 21 $0
81 $11505 Male Single Retiree
Married 29 $323106 Psychiatrist Male
Divorced Male 62 Accountant $152993
Married Botanist 46 Female $47733
$93592 Male Driver Single 56
95 $9593 Retiree Male Married
Divorced 27 Musician Female $410084
87 Male Retiree $10119 Divorced
Student $0 Single 13 Female
$11588 Widowed 86 Retiree Female
$0 Student Male Single 12
Married 37 Salesman $115812 Male
Unemployed $0 1 Single Male
Retiree $11381 Male Married 71
Female Single Student $0 13
Divorced $40261 Programmer Male 25
$5440 Retiree Male 72 Married
Single Female $253440 53 Doctor
Female 58 $49251 Janitor Married
Male Single Retiree $8080 67
Policeman Male 56 Married $86440
88 Male $9958 Retiree Divorced
Married $9413 Female Retiree 99
53 $42320 Male Married Clerk
10 $0 Female Student Single
38 Divorced Researcher $86812 Female
38 $106835 Policeman Male Widowed
Lawyer $367511 Divorced Male 26
Student 13 Single Male $0
$350402 60 Pilot Married Female
98 $4572 Married Retiree Female
55 Married $278392 Musician Male
Unemployed Single Male $0 3
Surgeon Male 54 $398685 Married
Female Married Retiree $5837 96
Retiree 65 Widowed $4882 Female
Married 92 Female Retiree $9971
Secretary Female Married $67545 63
$8346 67 Married Retiree Male
Married Male 38 Researcher $70949
$357838 Male 92 Businessman Divorced
Retiree Divorced 98 $9179 Female
Male Cashier 19 Married $11996
40 Veterinarian $78579 Male Married
$10503 Male Retiree Married 100
Female 59 $26295 Florist Married
Single $0 Student 16 Female
23 Female Single Driver $9679
Divorced Female $116797 30 Programmer
$73375 Chemist Male 49 Divorced
41 Widowed Male $80365 Driver
Female Soldier $98359 29 Widowed
Male $6121 Retiree 70 Married
$48358 Male Married 41 Driver
$0 Student Male Single 24
26 Male Married Pilot $311920
Retiree Male Single $4134 96
$0 5 Single Male Unemployed
$69315 Widowed Female Firefighter 61
Female 73 Divorced Retiree $10260
Soldier Female 59 Married $50077
Retiree Male Married 67 $11809
Married $105907 26 Veterinarian Male
Widowed 84 $11703 Male Retiree
$188393 36 Married Actor Male
62 Female Married $173033 Businessman
Female Married 98 $9825 Retiree
Male 92 $11891 Married Retiree
Male 17 Single $0 Student
56 Male $111553 Zoologist Widowed
80 $7525 Retiree Female Married
$11339 Retiree Male 95 Married
$59244 Policeman Male Married 38
37 Female $89297 Chemist Widowed
59 Driver Male $62009 Married
Retiree Male $8095 Married 93
$0 Female Divorced 20 Student
Male $11732 Married Retiree 77
$0 Student Male Single 12
Single $95482 Male Firefighter 42
Student 10 $0 Female Single
Male 6 Student Single $0
Female 35 Researcher Married $71414
Driver $42274 Male 55 Single
Married Female 30 Soldier $65237
Researcher Married $92454 43 Female
Male $157028 Judge 39 Married
Male $4310 Student Single 16
Mechanic Male Married 36 $27146
Retiree Widowed 95 Male $11259
56 Divorced Artist Female $256460
$0 Student Female Single 13
$389584 Lawyer 46 Female Single
$8662 Male Married Retiree 75
Female Single Student 7 $0
Nurse Divorced $94714 39 Female
Female Divorced $236630 53 Professor
46 Female $74552 Veterinarian Married
$225170 Female Psychiatrist Married 53
Married 33 $51944 Female Researcher
Married Male Businessman 68 $42687
$0 Male 19 Student Single
$41554 33 Single Soldier Female
$61276 Widowed 26 Female Veterinarian
Female Florist $22212 50 Married
Female Married Retiree 73 $5677
100 Male $250688 Married Businessman
Female $47990 Married Waiter 25
Male $5822 Retiree Married 78
Female Unemployed 2 Single $0
$0 Male Student Single 14
$10922 96 Female Married Retiree
Surgeon Married Female 59 $148867
Single 13 Male $0 Student
Single $0 Male Student 24
Retiree 71 Female $7385 Married
$11960 Single 98 Female Retiree
$83786 Chemist Single 40 Male
Single Bookeeper Male 31 $13559
Female Student 7 Single $0
Driver Male 48 $46563 Married
$0 Student Single Male 14
$72257 Married 31 Other Designer
$91541 53 Author Married Female
Widowed 73 $5055 Retiree Male
Waiter Married 41 $24295 Female
$45040 53 Married Waiter Other
Male Businessman 26 $84461 Married
Married $175362 75 Businessman Male
$0 Student Male 17 Single
Widowed $11679 79 Retiree Male
Married $5168 98 Female Retiree
$6195 Divorced Female Retiree 98
16 Male $0 Single Student
$116196 Married 40 Programmer Male
Surgeon Married Female $349839 38
Male $52620 Married 37 Librarian
Student Single Male $300 10
Married 99 Retiree $10510 Male
89 $8711 Male Married Retiree
$106120 29 Salesman Divorced Female
Married 82 Female $9983 Retiree
70 Retiree $6446 Divorced Male
Married 71 Male Businessman $328142
Married Male $6695 Retiree 72
28 $77608 Married Veterinarian Male
Married 66 Retiree $9747 Male
Married Chemist $41143 Female 46
7 Single Female $0 Student
Librarian Married $29361 Female 25
Female Retiree 92 $5267 Married
Female Divorced 25 Surgeon $430658
Married 29 Firefighter Male $111199
Retiree $9841 84 Female Married
Clerk 23 $10669 Male Single
Male 8 Student Single $0
Male 65 Single $4564 Retiree
Female Judge Married $318541 50
Female $0 Student 9 Single
$5488 Female Married Retiree 82
Retiree $5374 Male Widowed 65
Businessman Male 88 $327557 Married
Single Male $0 7 Student
4 $0 Female Single Unemployed
$5989 Single 92 Retiree Female
Other $0 Single Student 10
Male $11256 Retiree 88 Divorced
Retiree Female Widowed 83 $4321
$168272 48 Female Model Married
Male 56 Married $80410 Researcher
Retiree $10128 97 Female Married
Retiree $8320 Female 89 Married
Student Female $0 13 Single
42 Male $85206 Married Soldier
Female Retiree 73 $5471 Single
Female $205599 Professor 61 Single
Female Divorced 79 Retiree $5696
Student $0 Female Single 24
$131720 Divorced Female Businessman 97
Male Unemployed Single 1 $0
Married Female $100969 49 Secretary
Married 80 Retiree $9431 Male
$0 Student 17 Single Female
Widowed $67505 Nurse Female 54
Married Retiree Male $10797 82
Secretary Divorced Female $71886 55
Married Doctor $338362 Male 46
$6563 Student Married 24 Male
Widowed Male $63534 Chemist 59
Single 22 Student $0 Female
54 Bookeeper Single Male $57046
Student $0 20 Single Female
Married Female $291498 Actor 61
Male 95 Retiree $5516 Married
$70502 Divorced Female 64 Nurse
$253620 Married 58 Female Surgeon
61 Male Veterinarian Married $114991
Married $75902 Female 84 Businessman
Retiree $4324 Female Married 76
Divorced 66 Retiree Male $10493
44 Actor $343867 Female Married
Male 25 $63082 Widowed Dentist
$206401 Male Judge Married 45
$8303 Married Retiree 79 Male
$4869 73 Single Male Retiree
Male 17 Student $0 Single
Single Male 13 Student $0
Female Student 23 $0 Single
54 $414123 Male Divorced Surgeon
$273434 58 Male Photographer Married
Retiree Single 88 Female $11969
73 Retiree Married $9815 Male
Divorced 37 Male Businessman $349766
Psychiatrist $235018 57 Male Married
$11784 Male Single Retiree 69
Married Male 70 $372738 Businessman
Divorced $8643 Male Retiree 91
Single 39 $323445 Photographer Female
$69369 29 Male Married Photographer
Male Teacher 46 $83538 Married
$307950 56 Male Surgeon Married
$10469 Retiree Married 76 Female
$293668 Female 62 Architect Married
1 Unemployed Single Female $0
Female Married Salesman $60353 33
$11159 Retiree Single Female 84
Female 43 Artist $199041 Married
79 Married Male Retiree $9960
Retiree 75 Female Married $9570
Single Male Student $100 10
Female Single Retiree $5985 93
Divorced 60 $225801 Female Doctor
$344018 Single Male Doctor 41
8 Student $0 Female Single
Married Retiree Female $9748 83
Student Male $0 Single 24
Retiree 86 $6652 Single Male
13 Female $0 Student Single
Botanist Married $100179 52 Female
Married Student 22 $7690 Male
Divorced $9527 Retiree 93 Male
Female Student Single $729 14
28 Married Surgeon Female $436395
Married 35 Soldier Male $109701
$0 Single Student Male 16
Student Single $0 Female 12
93 Single $169195 Male Businessman
Businessman $78842 100 Female Married
Married Female Pilot $405396 41
Retiree Married $11145 Male 69
Salesman $116974 Male 64 Divorced
$104366 Divorced Male Businessman 83
63 Widowed Model Male $194383
Female 18 Student $0 Single
Male Soldier $79709 Single 33
Retiree Married $4438 89 Female
Retiree Married $4499 69 Male
Married Male Retiree $7884 79
$4912 Male Student Single 22
Married $9314 87 Male Retiree
Retiree $7833 Female Single 85
Married Male $103671 Driver 46
70 Married Female Retiree $9781
Male Divorced Programmer 57 $51232
Widowed $10753 Retiree Male 89
Female $147471 Artist 45 Single
81 Retiree Female $11502 Married
44 Divorced $243970 Male Professor
$0 Single 11 Student Female
Retiree $5174 Female 91 Married
59 $133667 Male Married Doctor
Secretary Single $93426 37 Male
Researcher Female Divorced 50 $115096
7 $0 Single Female Student
$0 Male 1 Single Unemployed
Married 36 Author $124693 Other
Married 32 Carpenter $407751 Male
$9211 97 Female Married Retiree
Female $8240 84 Retiree Married
1 Single $0 Female Unemployed
$7914 Male Married 88 Retiree
Zoologist Married Male 46 $51368
Single $0 Female 4 Unemployed
20 $0 Student Female Single
$229447 Male Single 59 Chef
Married Retiree $4099 Male 95
Married Actor $318709 62 Female
Male Student $0 Single 23
48 Male Policeman Single $50161
32 Female Plumber Married $32351
82 $7142 Retiree Male Married
Single Retiree $8566 68 Female
Male 68 Married Retiree $6811
Retiree 69 Married $10020 Female
Female $0 2 Unemployed Single
Male $83846 Married Researcher 52
48 Male Single Researcher $43376
Unemployed Male 1 Single $0
Single Unemployed Male 3 $0
Pilot $351076 49 Single Male
Single 9 Student Male $0
36 Married Female Pilot $301382
Widowed 51 $104421 Banker Male
Female $264154 Businessman 81 Single
7 Student $0 Male Single
Female Unemployed 2 Single $0
Married 58 Cashier Female $39593
Other Married $422694 Model 62
$7586 Divorced 80 Male Retiree
Female $5689 71 Divorced Retiree
Actor $441227 42 Married Male
$0 Single 15 Student Male
$11969 Male 77 Married Retiree
$66185 30 Female Married Programmer
Married $9213 Female 96 Retiree
Professor Divorced 57 $442731 Male
93 Female $10985 Retiree Married
Male Married $429223 Psychiatrist 25
Single Retiree $9826 69 Male
Male Botanist 32 $55074 Married
Married $10847 Retiree Female 91
Retiree 82 Male $7788 Married
59 $45611 Single Female Cashier
41 $59871 Female Florist Widowed
85 $10994 Retiree Other Single
Female Student $0 9 Single
Male Businessman $94276 96 Divorced
79 Male $53114 Businessman Married
$8015 Female Retiree Married 78
67 Female Married $9489 Retiree
95 Single Retiree $9978 Female
Single Student $0 12 Male
Married Driver Female $71176 49
Female 59 $67956 Married Policeman
Student 12 $0 Single Female
Male Student Single $0 23
1 Unemployed Female Single $0
$0 Single Female Student 7
Male Married $129199 Pilot 33
$119258 40 Married Female Driver
Married 29 Male Psychiatrist $173252
57 Married Female $72483 Firefighter
Salesman $107999 48 Widowed Male
Retiree Male Married $6267 75
Male Divorced 81 $10877 Retiree
41 Female $21965 Single Janitor
Female Salesman $93395 Married 54
Clerk $11185 Married Male 21
6 $500 Student Single Male
$412879 Male 39 Married Carpenter
Veterinarian $112259 53 Male Widowed
$0 Female 16 Single Student
8 Single Student $300 Male
$51022 Driver 36 Male Single
Married $8285 78 Retiree Male
21 $4130 Single Male Student
Professor Married $310293 60 Female
$101017 Policeman Male 35 Married
$5514 74 Married Retiree Male
Married $10235 Retiree Male 90
97 Female $169908 Businessman Single
$112024 Pilot Single Male 55
Single 92 Female $8393 Retiree
Single $0 Unemployed 1 Other
Married 32 $111196 Female Carpenter
Dentist Married 48 $40567 Male
$0 Female Student 10 Single
18 Single $0 Female Student
Single Waiter 41 $21090 Male
36 Married Photographer $121533 Male
Author Female 63 $297446 Single
Male Married 35 Barista $58081
Accountant 28 Divorced Female $241259
Female Single $199259 Businessman 90
Single 7 Student Female $0
$11062 Retiree Married 78 Female
99 Retiree $7803 Married Female
$321092 55 Male Pilot Married
$10687 Retiree 68 Female Married
Male $44485 Married Soldier 44
$0 Student Single Female 11
Widowed 70 Businessman $227230 Male
$124106 Photographer Married 48 Female
72 $11517 Retiree Widowed Female
Teacher Married Male 38 $41266
Retiree $7618 Married Female 78
$7188 Married 93 Retiree Male
Divorced Female Retiree 73 $10492
Male 78 Married $11283 Retiree
$0 19 Married Male Student
Retiree 80 $7251 Female Married
68 Single $10424 Retiree Male
48 Cashier $31672 Male Married
Divorced $265097 42 Accountant Male
Married Nurse Male 44 $77308
$6590 Married 84 Retiree Male
Married Male 77 Retiree $7836
Artist $227996 Female 26 Single
81 Female Retiree $7976 Married
Married $39349 Plumber Female 61
3 Unemployed $0 Female Single
41 Secretary Female $99894 Divorced
17 Student Male $0 Single
Male 65 Single $10253 Retiree
Single 59 Veterinarian Female $47806
Married Zoologist $59553 Female 40
Female Zoologist Married $80853 36
$9757 75 Retiree Married Female
59 $103951 Driver Male Divorced
$0 Male Student 7 Single
64 $64857 Single Male Botanist
Female Married 66 $10910 Retiree
Male Divorced $283343 57 Lawyer
$11674 Retiree Married Male 76
Male Married $9612 74 Retiree
Retiree Female Widowed 90 $11751
Male 58 Married $106304 Veterinarian
$4227 Female Married 96 Retiree
$38756 54 Married Mechanic Other
Retiree Divorced 81 Male $11325
Retiree $7854 79 Single Female
$4229 Married Female Retiree 84
$0 Male 5 Unemployed Single
8 $100 Student Female Single
19 $0 Single Student Female
Single 18 $0 Student Female
60 Female $208628 Married Professor
Married Businessman 49 Male $232672
Retiree $11971 97 Female Widowed
Student Female $469 Single 13
Surgeon Single 52 $171919 Female
Single 76 $4414 Retiree Male
8 Male Student $0 Single
Zoologist Female Married $80313 34
$0 Single Student Male 13
Dentist Male $67119 54 Married
Female Professor $141775 37 Single
Businessman Divorced 89 $147806 Female
Retiree Married Male $5070 82
Single Male Retiree 100 $8049
$6169 Male Married Retiree 76
$113490 50 Dentist Married Male
22 Widowed Female Model $10074
Student Single 24 $0 Female
91 Single Male Businessman $422888
$4893 Widowed Retiree 72 Female
Married Teacher 25 Female $115457
$9412 100 Female Married Retiree
Male $0 18 Student Single
36 $56226 Dentist Male Single
Widowed Female Retiree 79 $9106
Single $7712 Male 81 Retiree
3 Unemployed Single Male $0
$191750 Businessman 88 Married Male
Student Male Single $5703 20
89 Retiree Widowed Female $7470
Student Single 11 $0 Female
Retiree $11683 68 Married Female
Female Retiree Single 89 $8285
$336362 Female Model Widowed 56
Male $4720 Retiree 79 Widowed
Female $8694 91 Retiree Married
Male Secretary $91469 Married 30
Married $23063 Male 57 Cashier
Male Retiree 91 $11639 Widowed
17 $0 Student Female Single
Student Single $0 12 Female
Female Student 9 Single $0
Pilot Female $139612 Widowed 47
68 Married Male $9461 Retiree
$22264 Male 46 Married Bookeeper
Student 7 Single Female $0
Single Female Unemployed 5 $0
Male 44 Married Zoologist $112616
Single Male $0 Student 6
Male Single 79 $10716 Retiree
Female Married Businessman $342310 89
$150939 38 Accountant Male Married
35 Divorced Policeman Female $74029
Nurse 31 $109646 Female Married
Student Single Female 16 $0
$48060 Male 62 Married Nanny
$110937 Male Teacher Married 32
20 Married Student Male $4157
$0 Female Single Unemployed 1
Teacher Other $69313 53 Divorced
Student Male 22 Single $7539
94 Male Married Retiree $10280
$0 6 Male Single Student
Unemployed $0 4 Male Single
Male Retiree Widowed $7548 84
Male Dentist 30 Married $80827
Retiree Female $10221 72 Single
Female 22 $6986 Waiter Single
41 Female $324481 Surgeon Single
Married 42 Professor $211587 Female
78 Retiree $11536 Married Female
Single $8949 73 Male Retiree
Retiree 69 $6702 Married Male
Male $118092 Single 51 Banker
53 Female $65648 Married Salesman
$80718 Male Single Teacher 62
Widowed $8692 Cashier Male 19
9 Student Single Female $0
Female Single Professor 25 $285085
$0 9 Student Female Single
81 Female Retiree $7205 Married
72 Female Married Retiree $5542
83 Married $11581 Male Retiree
Cashier 22 Female Single $8065
Model $186229 36 Single Female
Student $5252 Single 24 Female
Male Married Banker $288126 61
Other Married Doctor 39 $313921
Married $102921 Nurse 54 Female
Male Retiree Married 99 $8552
Male Single 15 Student $0
Widowed Male $130735 37 Carpenter
Plumber Married Male $39076 60
4 $0 Female Unemployed Single
Married $52572 Soldier Female 63
31 $87383 Married Male Salesman
Retiree $7911 99 Single Male
Male 3 Unemployed Single $0
$243747 Widowed 38 Female Pilot
$0 Single 15 Student Female
$0 Single 19 Student Male
61 $322436 Judge Female Married
22 Model Male $6649 Single
99 Retiree Married $7045 Male
Female Chemist 47 Divorced $66767
Female Student 15 $874 Single
6 $0 Student Single Male
Single Female 18 Student $0
50 Single Chemist Male $117375
Married Policeman Female 53 $101879
Zoologist Married Female 25 $111145
Banker $401238 Married 52 Female
Female Artist $83763 60 Married
Male 47 Divorced Lawyer $263930
87 $9656 Retiree Single Male
Female Actor $126301 Married 36
Teacher 31 $58468 Female Widowed
Student $0 Single Male 16
Female Surgeon 28 $177336 Married
Married $0 Female Student 19
Female $268449 Chef 48 Married
Female 24 $3163 Married Student
Female $103708 35 Nurse Divorced
93 Male Single $296809 Businessman
Professor $120771 44 Married Male
Single $7589 Male Florist 22
$0 18 Male Single Student
5 Unemployed Single $0 Female
Unemployed Male Single $0 2
35 Male Botanist Married $83813
Surgeon $338411 Male 56 Married
$92573 Married Female Teacher 33
Female $7642 Retiree Married 97
Retiree Male $11012 Married 91
Artist Male Married $19180 48
Single $0 10 Student Female
Female 93 Married $4739 Retiree
Retiree 71 $4258 Married Female
Female 27 Married Soldier $96790
Single Actor Male 38 $153702
Unemployed Single Male 2 $0
Doctor Male Single 37 $156674
$7786 Retiree Female 76 Married
$6488 Student 21 Widowed Male
41 Married Accountant Female $200477
Male $5521 Married 90 Retiree
Married $5750 Male 75 Retiree
$8551 Female Married 72 Retiree
Female Divorced $10481 83 Retiree
Retiree $5381 94 Female Married
83 Single Female Retiree $7631
73 $4693 Retiree Female Married
Male Single $156001 Model 33
$11523 23 Single Florist Female
61 Female Programmer $74281 Married
29 Researcher Widowed Female $66293
$6766 75 Married Retiree Female
Married 93 Male $8627 Retiree
Accountant 26 Male Single $441926
Policeman $87229 37 Single Male
$6500 67 Retiree Male Married
Plumber Married $46167 48 Female
Female 58 Married $133755 Judge
Male Student $0 17 Single
Married Female Nurse 30 $111769
$0 Student 6 Female Single
$357048 Single Banker Male 54
$0 Student Single 22 Female
$101603 Single 28 Teacher Male
Single Student 23 $0 Male
Divorced Actor 37 Female $267360
Retiree 65 $8377 Married Female
Male $62201 Married Zoologist 50
Female Nurse $52439 Widowed 53
Photographer Widowed $277162 Female 50
$6640 Divorced Male 83 Retiree
Retiree $6053 Married Male 73
Divorced 19 $10374 Male Florist
13 $0 Male Student Single
$7246 98 Married Female Retiree
Nurse Female $90739 59 Married
Female Single 16 Student $0
Student $0 Single 12 Female
$51650 Male Married Waiter 52
Married Female $5804 Retiree 86
Male Married $5899 71 Retiree
Male $66006 Married Zoologist 57
$8455 69 Married Male Retiree
Single Unemployed Female 1 $0
100 Married Retiree $8941 Male
$34022 Male Single 53 Janitor
19 Male $0 Student Single
Married Female $16545 Mechanic 58
27 $255998 Pilot Married Male
Retiree Male $4675 Married 72
92 Male Retiree Married $6926
91 Married $58852 Businessman Male
5 Male Unemployed Single $0
$112007 Married Male 60 Researcher
Female Married Retiree 87 $10963
Female 98 Retiree $4209 Single
$4645 Female 86 Married Retiree
53 $93273 Male Married Secretary
Carpenter 61 Married $312895 Male
Female 55 $282938 Judge Single
Single Male 22 Student $0
Female 23 $11778 Plumber Single
$386439 Married Male 46 Judge
Retiree $6601 73 Divorced Female
12 Student Single $0 Male
Programmer 32 Married $109912 Female
Married Retiree Female 87 $4062
Nurse Male 53 $53721 Single
Female Judge Married 48 $112417
Married Retiree $6526 Male 70
Retiree 86 Male $5242 Single
$117861 55 Veterinarian Female Married
43 $35744 Male Married Mechanic
Divorced Psychiatrist 39 $294902 Male
Married Female Researcher $87143 58
$37581 Female Married 30 Janitor
$0 Student 21 Female Divorced
Professor $206061 Male 36 Married
$8241 Female 21 Waiter Single
Divorced Male 28 $441482 Businessman
$0 Unemployed Female Single 4
$61931 Soldier Female Married 56
$99520 Married Female Firefighter 54
$6812 Retiree Male Single 79
Retiree 71 Female Married $7641
$5241 Married 91 Retiree Other
53 Single $47563 Other Policeman
Married 57 Chef Female $110414
$0 Student 7 Single Female
$6618 Female Married 86 Retiree
77 Female Married Retiree $8463
$0 Single Female Unemployed 5
4 Single Male $0 Unemployed
Female 69 $9788 Married Retiree
Janitor Male $8105 19 Married
$415119 97 Married Male Businessman
Retiree Male $4492 Married 65
$286570 Carpenter Female 36 Married
29 Zoologist Male $95907 Married
Female Retiree $11196 Divorced 68
52 Businessman Female Single $413268
Married $151424 59 Pilot Male
$27746 Widowed Plumber Female 28
Married $347040 Male 36 Architect
Male $9336 77 Retiree Married
Married $5222 90 Retiree Female
Male Single Student 17 $0
Married Nurse 57 $98358 Male
Retiree Divorced Male 85 $4875
31 Female $23139 Single Janitor
Janitor Female $22764 Widowed 50
Student $0 Single Female 9
97 Male Widowed Retiree $9502
23 Single $0 Male Student
Single Student 15 Female $0
$69381 Driver Divorced Female 61
$4033 Retiree 67 Female Married
27 Male Widowed $43636 Dentist
Married $5464 Female 76 Retiree
46 Widowed Other Driver $105433
Single Student 7 $0 Female
Driver Married 22 Male $9154
$95556 Married Female Secretary 52
$7756 Retiree Female 74 Single
Male 30 Musician Married $439329
2 Single Unemployed Female $0
Married $7964 Florist Male 23
62 $52497 Male Programmer Married
36 Married Accountant $198346 Female
Female $147223 Accountant Married 43
Married Female 67 $9671 Retiree
Male Salesman Married $74195 27
17 $0 Student Male Single
33 $319564 Single Chef Male
Psychiatrist Female Married 34 $370148
98 Single Retiree $11987 Male
95 Retiree $6287 Single Female
Married Designer 60 Female $85343
Student Single 8 Female $0
Married Retiree Male $11106 88
$30258 45 Male Married Clerk
Retiree 77 Female $10618 Single
Male $0 Student 14 Single
Carpenter Married $111382 Male 52
55 Architect Married Female $383692
Lawyer 62 Married $419051 Male
19 $0 Student Female Single
80 Retiree Female Widowed $9617
62 Female Married $100891 Zoologist
Single $10095 Retiree 86 Female
Female $5458 Divorced 94 Retiree
Married Retiree Female $8101 82
Divorced Female 82 Retiree $8504
$4206 97 Male Retiree Widowed
Retiree Female $10708 Married 86
8 Single Student $500 Female
$11197 65 Male Retiree Single
Single Female $4885 75 Retiree
97 Male $9140 Married Retiree
$0 Single Student 7 Male
Male 45 Widowed $113862 Architect
Divorced 43 Male $106176 Botanist
Divorced $62177 Female Zoologist 51
Student Female 10 Single $0
82 Female $8354 Married Retiree
Single 24 Male Student $0
72 $5074 Male Married Retiree
$111494 63 Married Veterinarian Female
2 Single $0 Unemployed Female
Female $117350 25 Businessman Married
Unemployed Male $0 2 Single
Single Student 18 Male $0
$5653 Female Retiree 78 Married
Female 10 Student $0 Single
Married Retiree $11926 Female 87
Male Retiree 71 $8940 Married
Single Female 57 Botanist $106547
$85203 Firefighter Female Divorced 58
Other 70 Retiree $4863 Single
Architect Male Single $419848 37
Retiree 71 $10514 Married Female
Female Married 71 $10534 Retiree
Female Widowed $4279 67 Retiree
33 Male Pilot Married $159939
63 Male Married $339113 Artist
48 $432004 Banker Male Married
Author Female $84101 Divorced 53
Other 35 Lawyer Married $418445
Married Model $120787 46 Male
$0 Female 20 Student Divorced
Single Female Janitor $9880 22
Mechanic Female $10084 23 Single
Female Retiree 100 $4763 Widowed
$47909 25 Female Widowed Salesman
Retiree Male Single 66 $9889
Student 18 Female $0 Single
56 Male $27524 Single Florist
Married $0 Student 23 Male
Female 47 Designer Married $328270
Retiree Married $6914 71 Female
90 Male $10821 Retiree Married
Female 19 $7426 Married Student
$7915 74 Female Retiree Married
Married 92 Female $10766 Retiree
Professor Male 45 $302273 Married
29 Male Married $338240 Psychiatrist
$8585 Retiree Married Female 70
$378634 62 Widowed Other Psychiatrist
67 $10590 Female Retiree Married
Student Male 14 Single $0
Single 21 Florist Female $7866
$51571 Male Married Bookeeper 55
98 $5169 Retiree Female Divorced
96 Retiree Male Married $6177
$500 Student 8 Single Male
Single 8 Male Student $0
Married Teacher 49 Male $100799
91 Female Widowed Retiree $9671
27 $78305 Nurse Married Female
Married $7424 85 Male Retiree
Salesman Male $91484 35 Single
Male Salesman $100678 Married 54
Secretary Single Male $103118 43
Retiree 76 Female $9771 Married
$4879 Divorced 83 Female Retiree
Married 57 $25131 Plumber Female
Married Businessman $348570 35 Female
72 Female $8539 Divorced Retiree
Male Married $11532 Retiree 98
81 $11983 Retiree Married Female
43 $66173 Married Firefighter Male
Janitor Single Female $27162 45
$36429 Female Florist Single 47
Married Male Botanist 36 $116477
$408668 Male 50 Chef Married
Female 57 Married Professor $245464
Single Student 11 $100 Male
5 $0 Male Unemployed Single
Female $4020 Retiree Single 73
Married 38 Male Veterinarian $56359
78 $7570 Married Retiree Male
Male 29 $101978 Nurse Married
$5747 Retiree Married Male 76
$11083 Married Male Retiree 88
$8817 Male 77 Single Retiree
Divorced Businessman Male 94 $320668
93 Retiree Female $7413 Divorced
61 Married Plumber $20727 Male
Divorced Male Student $0 23
Businessman Married $203563 Female 83
$177928 50 Doctor Married Male
5 Single Unemployed Female $0
76 Male $5457 Married Retiree
42 Soldier Male $93219 Married
Retiree Married 69 $10586 Male
Zoologist 34 Male Widowed $89779
Retiree Male Single 99 $9144
Single Businessman 69 Female $92096
$11518 Retiree Male 70 Married
Retiree Female 93 $6811 Married
11 Single Student Male $0
Retiree Female $5457 91 Married
Professor 44 Married $345566 Female
